"schoolid","schoolname","calendaryear","academicyear","factotal","facmen","facwomen","facother","facminority","ftfactotal","ftfacmen","ftfacwomen","ftfacother","ftfacminority","nonftfactotal","nonftfacmen","nonftfacwomen","nonftfacother","nonftfacminority","totallibrarian","ftlibrarian","ptlibrarian","totaladmin","ftadmin","ptadmin"
"02053000","Liberty University","2019","2018","31","24","7","0","6","19","15","4","0","4","12","9","3","0","2","3","3","0","1","1","0"
"02179937","Western State College of Law","2019","2018","57","30","27","0","18","21","8","13","0","7","36","22","14","0","11","4","3","1","8","8","0"
"03091300","Regent University","2019","2018","41","30","11","0","5","20","14","6","0","3","21","16","5","0","2","2","2","0","1","1","0"
"03173300","Atlanta's John Marshall Law School","2019","2018","51","25","26","0","11","27","14","13","0","5","24","11","13","0","6","3","3","0","17","17","0"
"03191300","City University of New York","2019","2018","95","33","62","0","39","64","22","42","0","27","31","11","20","0","12","5","5","0","21","21","0"
"03374300","Florida Coastal School of Law","2019","2018","37","20","17","0","8","13","6","7","0","2","24","14","10","0","6","1","1","0","8","6","2"
"03559300","Appalachian School of Law","2019","2018","23","16","7","0","2","12","9","3","0","0","11","7","4","0","2","2","2","0","2","2","0"
"03691400","Ave Maria School of Law","2019","2018","41","26","15","0","2","23","14","9","0","2","18","12","6","0","0","4","3","1","11","11","0"
"04096300","Charleston School of Law","2019","2018","83","48","35","0","2","22","11","11","0","2","61","37","24","0","0","3","3","0","21","21","0"
"04242101","UNT Dallas College Of Law","2019","2018","41","24","17","0","12","21","9","12","0","9","20","15","5","0","3","4","4","0","16","14","2"
