"schoolid","schoolname","calendaryear","academicyear","jd1sectionsz","ftjd1sectionsz","ptjd1sectionsz","postjd1courses","courseseclt25","courseseclt50","courseseclt75","courseseclt100","coursesectgte100","totalsimpos","simposfilled","ftsimposfilled","ptsimposfilled","seminars","semposfilled","ftsemposfilled","ptsemposfilled","totalclinics","totalclinpos","clinposfilled","ftclinposfilled","ptclinposfilled","fieldposfilled","ftfieldposfilled","ptfieldposfilled","indstudy","ftindstudy","ptindstudy","lawjour","ftlawjour","ptlawjour","interskillscomp","ftinterskillscomp","ptinterskillscomp","cocurricularoffers","gradreqcredithrs","fyreqcourscredithrs","ulreqcourscredithrs"
"00146800","St. Thomas University (Florida)","2019","2018","43","","","99","126","41","6","0","0","989","","","","15","","","","","43","","","","76","","","","","","","","","","","","14","90","",""
"00148001","Florida A&M University","2019","2018","75","","","76","115","24","7","6","0","341","","","","13","","","","","60","","","","194","","","","","","","","","","","","4","90","",""
"00148900","Florida State University","2019","2018","63","","","139","121","23","11","0","1","450","","","","15","","","","","104","","","","284","","","","","","","","","","","","19","88","",""
"00150900","Nova Southeastern University","2019","2018","48","","","86","98","31","21","1","1","908","","","","10","","","","","110","","","","103","","","","","","","","","","","","4","90","",""
"00153101","Stetson University","2019","2018","80","","","169","155","44","21","1","0","886","","","","13","","","","","129","","","","216","","","","","","","","","","","","21","88","",""
"00153505","University of Florida","2019","2018","87","","","174","136","53","28","4","10","718","","","","23","","","","","144","","","","192","","","","","","","","","","","","15","88","",""
"00153601","University of Miami","2019","2018","78","","","280","248","61","11","11","5","1876","","","","22","","","","","407","","","","231","","","","","","","","","","","","55","88","",""
"00156400","Emory University","2019","2018","100","","","194","177","53","10","10","16","1349","","","","18","","","","","81","","","","357","","","","","","","","","","","","6","90","",""
"00157400","Georgia State University","2019","2018","55","","","138","114","39","14","3","0","400","","","","29","","","","","112","","","","233","","","","","","","","","","","","12","90","",""
"00158015","Mercer University","2019","2018","28","","","91","88","18","12","2","2","985","","","","15","","","","","34","","","","112","","","","","","","","","","","","11","89","",""
"00159800","University of Georgia","2019","2018","69","","","139","99","28","13","3","0","889","","","","29","","","","","221","","","","278","","","","","","","","","","","","14","88","",""
"00161000","University of Hawaii","2019","2018","70","","","96","108","10","6","0","0","72","","","","20","","","","","276","","","","69","","","","","","","","","","","","15","89","",""
"00162600","University of Idaho","2019","2018","56","","","77","34","18","4","0","0","390","","","","16","","","","","86","","","","91","","","","","","","","","","","","7","90","",""
"00167100","Depaul University","2019","2018","66","","","152","146","42","8","6","0","674","","","","23","","","","","114","","","","149","","","","","","","","","","","","30","86","",""
"00169101","Chicago-Kent College of Law-IIT","2019","2018","61","","","165","157","47","15","5","1","1232","","","","28","","","","","239","","","","133","","","","","","","","","","","","24","87","",""
"00169800","John Marshall Law School","2019","2018","85","","","148","219","39","12","3","1","1349","","","","42","","","","","424","","","","157","","","","","","","","","","","","51","90","",""
"00171000","Loyola University-Chicago","2019","2018","72","","","224","235","36","11","2","0","1366","","","","38","","","","","222","","","","127","","","","","","","","","","","","46","86","",""
"00173700","Northern Illinois University","2019","2018","43","","","79","81","8","5","1","0","204","","","","6","","","","","72","","","","85","","","","","","","","","","","","13","90","",""
"00173900","Northwestern University","2019","2018","62","","","250","187","56","23","0","0","814","","","","85","","","","","392","","","","142","","","","","","","","","","","","4","85","",""
"00175800","Southern Illinois University-Carbondale","2019","2018","38","","","65","62","15","6","2","0","350","","","","11","","","","","72","","","","73","","","","","","","","","","","","3","90","",""
"00177400","University of Chicago","2019","2018","98","","","206","185","33","8","12","2","662","","","","151","","","","","703","","","","3","","","","","","","","","","","","10","105","",""
"00177500","University of Illinois","2019","2018","40","","","147","107","26","8","5","2","352","","","","21","","","","","68","","","","200","","","","","","","","","","","","14","90","",""
"00180900","Indiana University - Bloomington","2019","2018","60","","","162","280","26","11","1","3","722","","","","20","","","","","149","","","","196","","","","","","","","","","","","14","88","",""
"00181300","Indiana University - Indianapolis","2019","2018","80","","","147","136","39","12","9","2","541","","","","8","","","","","135","","","","302","","","","","","","","","","","","25","90","",""
"00184000","University of Notre Dame","2019","2018","63","","","174","240","32","10","3","1","580","","","","20","","","","","102","","","","167","","","","","","","","","","","","14","90","",""
"00186000","Drake University","2019","2018","53","","","109","47","13","3","0","0","325","","","","13","","","","","129","","","","86","","","","","","","","","","","","20","90","",""
"00189200","University of Iowa","2019","2018","73","","","149","139","30","6","3","0","556","","","","23","","","","","105","","","","83","","","","","","","","","","","","25","84","",""
"00194800","University of Kansas","2019","2018","34","","","115","109","13","6","0","0","384","","","","35","","","","","90","","","","107","","","","","","","","","","","","26","90","",""
"00194900","Washburn University","2019","2018","54","","","104","85","14","8","1","0","740","","","","10","","","","","59","","","","66","","","","","","","","","","","","19","90","",""
"00198903","University of Kentucky","2019","2018","76","","","100","107","20","7","5","0","407","","","","9","","","","","114","","","","80","","","","","","","","","","","","4","90","",""
"00199900","University of Louisville","2019","2018","65","","","107","115","16","16","0","0","321","","","","12","","","","","86","","","","136","","","","","","","","","","","","36","90","",""
"00201000","Louisiana State University","2019","2018","69","","","106","71","40","13","4","1","391","","","","10","","","","","76","","","","202","","","","","","","","","","","","9","94","",""
"00201600","Loyola University-New Orleans","2019","2018","40","","","117","91","31","14","4","0","460","","","","36","","","","","230","","","","103","","","","","","","","","","","","42","90","",""
"00202500","Southern University","2019","2018","50","","","99","131","40","4","0","0","380","","","","5","","","","","520","","","","98","","","","","","","","","","","","0","90","",""
